Year{20,21,22,23,24,25 },,,,,,,,,,,,,,,,
Month{Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, Jan, Feb, Mar, Firsthalf, Secondhalf, All },,,,,,,
Stay{Individual, Cumulative, CuIn},,,,,,,,,,,,,,,,,,,
Country{China, Korea, Taiwan, HK, Singapore, Malaysia, Thailand, India, Indonesia, Vietnam, Philippines, Russia, UK, France, Germany, US, Canada, Australia, Other},,,
@data form,,,,,,,,,,,,,,,,,,,,,
Year, Month, Stay, China, Korea, Taiwan, HK, Singapore, Malaysia, Thailand, India, Indonesia, Vietnam, Philippines, Russia, UK, France, Germany, US, Canada, Australia, Other

@data,,,,,,,,,,,,,,,,,,,,,
22, Mar, Cumulative,6696,9189,17363,15666,6859,1277,1392,53,na,na,na,1248,1539,220,118,1721,418,12913,5275
22, Firsthalf, Individual,155992,164363,286561,171864,77682,24210,16712,332,na,na,na,5229,2623,2815,1953,14911,2667,4204,41121
22, Firsthalf, Cumulative,172404,185969,306320,215752,84743,26726,20178,653,na,na,na,8964,3557,3972,3350,18981,3814,7412,53746
22, Secondhalf, Individual,119930,143273,238714,154030,87557,29830,12775,443,na,na,na,4495,3697,1576,1415,12111,2195,35603,38856
22, Secondhalf, Cumulative,143745,166595,257169,234654,123842,37817,18534,780,na,na,na,8483,9720,2955,3216,22742,3991,146363,68014
22, All, Individual,275922,307636,525275,325894,165239,54040,29487,775,na,na,na,9724,6320,4391,3368,27022,4862,39807,79977
22, All, Cumulative,316149,352564,563489,450406,208585,64543,38712,1433,na,na,na,17447,13277,6927,6566,41723,7805,153775,121760
23, Apr, Individual,327,435,2617,753,111,26,92,83,na,na,na,148,95,43,32,228,49,149,693
23, Apr, Cumulative,470,566,3200,1000,137,48,153,83,na,na,na,235,132,101,59,321,51,308,1129
23, May, Individual,1201,3628,13052,5623,2054,155,261,5,na,na,na,261,106,76,53,595,116,279,1319
23, May, Cumulative,1628,4306,14619,6617,2211,198,374,8,na,na,na,363,144,159,100,840,215,415,1836
23, Jun, Individual,6740,7354,32029,8870,11286,470,290,46,na,na,na,965,194,96,94,917,237,275,2119
23, Jun, Cumulative,7511,8434,33724,10471,11898,567,366,67,na,na,na,1286,297,200,240,1336,299,358,3334
23, Jul, Individual,14980,19987,53587,19881,10198,3748,3765,134,na,na,na,846,278,193,208,1311,294,405,4963
23, Jul, Cumulative,16780,24457,56600,24176,10948,3979,4261,141,na,na,na,1311,421,310,366,1947,722,686,7206
23, Aug, Individual,16644,22136,54820,27299,3684,1424,754,86,na,na,na,545,256,245,137,1061,255,360,4239
23, Aug, Cumulative,18469,27891,59178,31334,4104,1596,979,102,na,na,na,1592,441,335,498,1505,343,567,6094
23, Sep, Individual,9989,12257,33328,12489,5278,1739,1808,111,na,na,na,418,452,288,319,1356,251,460,3978
23, Sep, Cumulative,11296,14717,35050,14562,5777,1924,2294,167,na,na,na,1384,585,454,597,2023,320,731,6253
23, Oct, Individual,17522,12414,53471,18071,6933,1018,1491,67,na,na,na,702,274,169,298,1453,343,444,3571
23, Oct, Cumulative,18966,13960,55960,21020,7640,1108,1992,105,na,na,na,1020,366,297,352,2208,431,616,4561
23, Nov, Individual,10763,9545,40743,11432,7050,627,600,151,na,na,na,501,181,108,295,686,315,282,2794
23, Nov, Cumulative,11785,10652,42549,13399,7899,830,773,165,na,na,na,1034,234,229,464,1094,581,484,3492
23, Dec, Individual,21084,12392,56192,33747,29301,7719,2051,183,na,na,na,517,506,217,237,1196,390,2619,7415
23, Dec, Cumulative,25008,15536,61552,47039,40455,10163,2913,225,na,na,na,1180,1031,475,268,1966,647,11543,10415
23, Jan, Individual,44277,19570,75668,40517,9618,2764,1111,53,na,na,na,908,672,243,117,1872,556,8806,5766
23, Jan, Cumulative,52891,24075,85825,59297,13305,3608,1464,95,na,na,na,2174,1578,578,244,3335,1185,40893,11119
23, Feb, Individual,15420,19537,65866,27596,5146,1462,4497,152,na,na,na,627,1129,354,322,3362,535,8161,7025
23, Feb, Cumulative,19387,25632,72934,40380,7763,1986,6011,210,na,na,na,1279,2457,767,590,5782,1068,35107,11551
23, Mar, Individual,10931,10070,46224,11969,5736,1286,1219,67,na,na,na,701,480,211,182,1592,297,2899,4351
23, Mar, Cumulative,12702,13817,49313,17941,9439,1998,1557,132,na,na,na,1266,1224,454,311,2766,543,10676,7288
23, Firsthalf, Individual,49881,65797,189433,74915,32611,7562,6970,465,na,na,na,3183,1381,941,843,5468,1202,1928,17311
23, Firsthalf, Cumulative,56154,80371,202371,88160,35075,8312,8427,568,na,na,na,6171,2020,1559,1860,7972,1950,3065,25852
23, Secondhalf, Individual,119997,83528,338164,143332,63784,14876,10969,673,na,na,na,3956,3242,1302,1451,10161,2436,23211,30922
23, Secondhalf, Cumulative,140739,103672,368133,199076,86501,19693,14710,932,na,na,na,7953,6890,2800,2229,17151,4455,99319,48426
23, All, Individual,169878,149325,527597,218247,96395,22438,17939,1138,na,na,na,7139,4623,2243,2294,15629,3638,25139,48233
23, All, Cumulative,196893,184043,570504,287236,121576,28005,23137,1500,na,na,na,14124,8910,4359,4089,25123,6405,102384,74278
24, Apr, Individual,13092,6704,40092,8943,5616,905,2588,35,na,na,na,306,347,96,68,1166,153,804,4628
24, Apr, Cumulative,14798,7466,41926,12734,6447,1338,3499,85,na,na,na,521,485,217,90,1574,225,1467,5866
24, May, Individual,16229,12495,53585,13902,13603,2118,2842,97,na,na,na,417,334,168,105,1963,312,471,6161
24, May, Cumulative,18791,13968,56595,16947,15749,2824,3475,123,na,na,na,851,460,359,151,2726,444,701,7183
24, Jun, Individual,17281,16387,59809,16585,11203,1162,2269,105,na,na,na,784,304,169,289,2116,277,682,4287
24, Jun, Cumulative,20052,18535,63353,20581,13402,1378,3083,135,na,na,na,1628,455,267,363,2898,411,1114,6293
24, Jul, Individual,45252,28070,87259,30230,10915,4593,9505,104,na,na,na,1140,403,388,275,3023,600,846,8959
24, Jul, Cumulative,52593,34112,95020,41837,12443,5674,11996,183,na,na,na,2185,612,677,482,4645,1175,1211,12046
24, Aug, Individual,50152,39394,68826,25450,4894,1936,2200,93,na,na,na,1095,391,513,240,2058,448,568,7413
24, Aug, Cumulative,56633,47967,75419,32833,5604,2313,3005,106,na,na,na,3163,599,852,387,3019,698,905,10214
24, Sep, Individual,14559,12181,54579,13541,3645,799,1555,65,na,na,na,662,425,356,349,2320,287,496,6317
24, Sep, Cumulative,16886,13877,58207,16721,4322,1020,2028,104,na,na,na,1743,630,525,544,3439,648,845,8803
24, Oct, Individual,8254,14357,80856,18865,7721,2526,3353,82,na,na,na,876,419,392,394,2824,510,695,7698
24, Oct, Cumulative,9940,16843,84061,22040,8565,2966,4376,226,na,na,na,1736,609,582,648,3803,792,957,9184
24, Nov, Individual,4636,10052,58410,10175,5925,2054,3099,50,na,na,na,647,328,139,284,1790,252,438,5947
24, Nov, Cumulative,5740,11213,60627,11917,7026,2876,3802,82,na,na,na,1575,449,241,374,2356,356,934,7666
24, Dec, Individual,11002,19488,71810,32430,39064,13615,6518,231,na,na,na,762,617,193,307,2587,370,5430,13837
24, Dec, Cumulative,15153,23996,78619,48909,57333,18529,8642,307,na,na,na,1649,1205,346,414,3845,809,20566,18602
24, Jan, Individual,10522,22726,74633,21531,4915,2030,5804,65,na,na,na,1032,872,249,209,2945,571,19758,8604
24, Jan, Cumulative,13927,26625,83058,32220,8515,3033,7846,129,na,na,na,2546,1772,442,477,4672,1442,86562,14130
24, Feb, Individual,21908,24397,89888,51529,9800,5596,12102,141,na,na,na,911,2176,588,487,6780,901,14885,13969
24, Feb, Cumulative,29264,32148,98709,76067,15492,7084,15824,195,na,na,na,1957,4498,1043,1082,11046,2074,55786,21721
24, Mar, Individual,7735,14601,75562,20114,6850,2290,10723,152,na,na,na,800,871,223,145,2526,353,5518,6909
24, Mar, Cumulative,9922,18920,81269,30378,12113,3250,14576,170,na,na,na,1589,2319,354,236,4356,767,20371,10660
